Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RecordID
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,4945.5,19479,8,Yes,11,3,1,0,8.0,0,1,6.0,4,0,5,100001
49,No,Travel_Frequently,279,Research and Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,4945.5,24907,1,No,23,4,4,1,10.0,3,3,10.0,7,1,7,100002
37,Yes,Travel_Rarely,1373,Research and Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,2396,6,Yes,15,3,2,0,7.0,3,3,0.0,0,0,0,100003
33,No,Travel_Frequently,1392,Research and Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909.0,23159,1,Yes,11,3,3,0,8.0,3,3,5.0,7,3,0,100004
27,No,Travel_Rarely,591,Research and Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468.0,16632,9,No,12,3,4,1,6.0,3,3,2.0,2,2,2,100005
32,No,Travel_Frequently,1005,Research and Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,11864,0,No,13,3,3,0,8.0,2,2,7.0,7,3,6,100006
59,No,Travel_Rarely,1324,Research and Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,9964,4,Yes,20,4,1,3,12.0,3,2,1.0,0,0,0,100007
30,No,Travel_Rarely,1358,Research and Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335,1,No,22,4,2,1,1.0,2,3,1.0,0,0,0,100008
38,No,Travel_Frequently,216,Research and Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,8787,0,No,21,4,2,0,10.0,2,3,9.0,7,1,8,100009
36,No,Travel_Rarely,1299,Research and Development,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,16577,6,No,13,3,2,2,17.0,3,2,7.0,7,7,7,100010
35,No,Travel_Rarely,809,Research and Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0,No,13,3,3,1,6.0,5,3,5.0,4,0,3,100011
29,No,Travel_Rarely,153,Research and Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193.0,12682,0,Yes,12,3,4,0,10.0,3,3,9.0,5,0,8,100012
