Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RecordID,IncomePerWorkingYear,ExperienceLevel,PromotionRate,TenureGroup,HighIncomeIndicator
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,4945.5,19479,8,Yes,11,3,1,0,8.0,0,1,6.0,4,0,5,100001,549.5,Mid,0.0,5+ Years,0
49,No,Travel_Frequently,279,Research and Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,4945.5,24907,1,No,23,4,4,1,10.0,3,3,10.0,7,1,7,100002,449.59090909090907,Mid,0.09090909090909091,5+ Years,0
37,Yes,Travel_Rarely,1373,Research and Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,2396,6,Yes,15,3,2,0,7.0,3,3,0.0,0,0,0,100003,261.25,Mid,0.0,0–1 Years,0
33,No,Travel_Frequently,1392,Research and Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909.0,23159,1,Yes,11,3,3,0,8.0,3,3,5.0,7,3,0,100004,323.22222222222223,Mid,0.5,3–5 Years,0
27,No,Travel_Rarely,591,Research and Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468.0,16632,9,No,12,3,4,1,6.0,3,3,2.0,2,2,2,100005,495.42857142857144,Mid,0.6666666666666666,1–3 Years,0
32,No,Travel_Frequently,1005,Research and Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,11864,0,No,13,3,3,0,8.0,2,2,7.0,7,3,6,100006,340.8888888888889,Mid,0.375,5+ Years,0
59,No,Travel_Rarely,1324,Research and Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,9964,4,Yes,20,4,1,3,12.0,3,2,1.0,0,0,0,100007,205.3846153846154,Senior,0.0,0–1 Years,0
30,No,Travel_Rarely,1358,Research and Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335,1,No,22,4,2,1,1.0,2,3,1.0,0,0,0,100008,1346.5,Junior,0.0,0–1 Years,0
38,No,Travel_Frequently,216,Research and Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,8787,0,No,21,4,2,0,10.0,2,3,9.0,7,1,8,100009,866.0,Mid,0.1,5+ Years,1
36,No,Travel_Rarely,1299,Research and Development,27,3,Medical,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,16577,6,No,13,3,2,2,17.0,3,2,7.0,7,7,7,100010,290.94444444444446,Senior,0.875,5+ Years,1
35,No,Travel_Rarely,809,Research and Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0,No,13,3,3,1,6.0,5,3,5.0,4,0,3,100011,346.57142857142856,Mid,0.0,3–5 Years,0
29,No,Travel_Rarely,153,Research and Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193.0,12682,0,Yes,12,3,4,0,10.0,3,3,9.0,5,0,8,100012,381.1818181818182,Mid,0.0,5+ Years,0
31,No,Travel_Rarely,670,Research and Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911.0,15170,1,No,17,3,4,1,5.0,1,2,5.0,2,4,3,100013,485.1666666666667,Mid,0.6666666666666666,3–5 Years,0
34,No,Travel_Rarely,1346,Research and Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661.0,8758,0,No,11,3,3,1,3.0,2,3,2.0,2,1,2,100014,665.25,Junior,0.3333333333333333,1–3 Years,0
28,Yes,Travel_Rarely,103,Research and Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028.0,12947,5,Yes,14,3,2,0,10.0,4,3,5.0,2,0,3,100015,184.36363636363637,Mid,0.0,3–5 Years,0
29,No,Travel_Rarely,1389,Research and Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195,1,No,11,3,3,1,10.0,1,3,10.0,9,8,8,100016,907.2727272727273,Mid,0.7272727272727273,5+ Years,1
32,No,Travel_Rarely,334,Research and Development,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298.0,15053,0,Yes,12,3,4,2,7.0,5,2,6.0,2,0,5,100017,412.25,Mid,0.0,5+ Years,0
22,No,Non-Travel,1123,Research and Development,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,7324,1,Yes,13,3,2,2,1.0,2,2,1.0,0,0,0,100018,1467.5,Junior,0.0,0–1 Years,0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427.0,22021,2,No,16,3,3,0,31.0,3,3,25.0,8,3,7,100019,482.09375,Senior,0.11538461538461539,5+ Years,1
38,No,Travel_Rarely,371,Research and Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,4945.5,4306,5,Yes,11,3,3,0,6.0,3,3,3.0,2,1,2,100020,706.5,Mid,0.25,1–3 Years,0
24,No,Non-Travel,673,Research and Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.0,8232,0,No,18,3,4,1,5.0,5,2,4.0,2,1,3,100021,668.5,Mid,0.2,3–5 Years,0
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407.0,6986,7,No,23,4,2,0,10.0,4,3,5.0,3,0,3,100022,309.72727272727275,Mid,0.0,3–5 Years,0
34,No,Travel_Rarely,419,Research and Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994.0,21293,0,No,11,3,3,0,13.0,4,3,12.0,6,2,11,100023,856.7142857142857,Senior,0.15384615384615385,5+ Years,1
21,No,Travel_Rarely,391,Research and Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232.0,19281,1,No,14,3,4,0,0.0,6,3,0.0,0,0,0,100024,1232.0,Junior,0.0,0–1 Years,0
34,Yes,Travel_Rarely,699,Research and Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2960.0,17102,2,No,11,3,3,0,8.0,2,3,4.0,2,1,3,100025,328.8888888888889,Mid,0.2,3–5 Years,0
53,No,Travel_Rarely,1282,Research and Development,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,16790.5,10735,4,No,11,3,4,1,26.0,3,2,14.0,13,4,8,100026,621.8703703703703,Senior,0.26666666666666666,5+ Years,1
32,Yes,Travel_Frequently,1125,Research and Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919.0,4681,1,Yes,22,4,2,0,10.0,5,3,10.0,2,6,7,100027,356.27272727272725,Mid,0.5454545454545454,5+ Years,0
42,No,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825.0,21173,0,No,11,3,4,1,10.0,2,3,9.0,7,4,2,100028,620.4545454545455,Mid,0.4,5+ Years,1
44,No,Travel_Rarely,477,Research and Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248.0,2094,3,No,14,3,4,1,24.0,4,3,22.0,6,5,17,100029,409.92,Senior,0.21739130434782608,5+ Years,1
